investor_id,max_gap_days,at_risk
INV000001,71.0,True
INV000002,114.0,True
INV000003,238.0,True
INV000004,265.0,True
INV000005,167.0,True
INV000006,295.0,True
INV000007,177.0,True
INV000008,107.0,True
INV000009,162.0,True
INV000010,121.0,True
INV000011,122.0,True
INV000012,104.0,True
INV000013,99.0,True
INV000014,119.0,True
INV000015,127.0,True
INV000016,122.0,True
INV000017,264.0,True
INV000018,234.0,True
INV000019,406.0,True
INV000020,122.0,True
INV000021,137.0,True
INV000022,178.0,True
INV000023,115.0,True
INV000024,167.0,True
INV000025,,False
INV000026,145.0,True
INV000027,140.0,True
INV000028,232.0,True
INV000029,71.0,True
INV000030,92.0,True
INV000031,262.0,True
INV000032,166.0,True
INV000033,87.0,True
INV000034,62.0,True
INV000035,144.0,True
INV000036,99.0,True
INV000037,126.0,True
INV000038,183.0,True
INV000039,94.0,True
INV000040,118.0,True
INV000041,144.0,True
INV000042,31.0,False
INV000043,286.0,True
INV000044,290.0,True
INV000045,70.0,True
INV000046,292.0,True
INV000047,115.0,True
INV000048,120.0,True
INV000049,425.0,True
INV000050,129.0,True
INV000051,167.0,True
INV000052,129.0,True
INV000053,7.0,False
INV000054,103.0,True
INV000055,107.0,True
INV000056,161.0,True
INV000057,65.0,True
INV000058,121.0,True
INV000059,,False
INV000060,90.0,True
INV000061,179.0,True
INV000062,148.0,True
INV000063,403.0,True
INV000064,,False
INV000065,122.0,True
INV000066,115.0,True
INV000067,,False
INV000068,,False
INV000069,110.0,True
INV000070,157.0,True
INV000071,56.0,True
INV000072,188.0,True
INV000073,112.0,True
INV000074,191.0,True
INV000075,87.0,True
INV000076,148.0,True
INV000077,87.0,True
INV000078,231.0,True
INV000079,120.0,True
INV000080,167.0,True
INV000081,167.0,True
INV000082,225.0,True
INV000083,180.0,True
INV000084,155.0,True
INV000085,135.0,True
INV000086,102.0,True
INV000087,103.0,True
INV000088,54.0,True
INV000089,130.0,True
INV000090,148.0,True
INV000091,112.0,True
INV000092,225.0,True
INV000093,111.0,True
INV000094,173.0,True
INV000095,155.0,True
INV000096,2.0,False
INV000097,183.0,True
INV000098,111.0,True
INV000099,178.0,True
INV000100,155.0,True
INV000101,102.0,True
INV000102,97.0,True
INV000103,137.0,True
INV000104,79.0,True
INV000105,87.0,True
INV000106,111.0,True
INV000107,138.0,True
INV000108,165.0,True
INV000109,63.0,True
INV000110,194.0,True
INV000111,205.0,True
INV000112,167.0,True
INV000113,144.0,True
INV000114,96.0,True
INV000115,136.0,True
INV000116,133.0,True
INV000117,124.0,True
INV000118,152.0,True
INV000119,142.0,True
INV000120,223.0,True
INV000121,170.0,True
INV000122,,False
INV000123,138.0,True
INV000124,210.0,True
INV000125,92.0,True
INV000126,258.0,True
INV000127,240.0,True
INV000128,129.0,True
INV000129,105.0,True
INV000130,97.0,True
INV000131,64.0,True
INV000132,125.0,True
INV000133,265.0,True
INV000134,106.0,True
INV000135,238.0,True
INV000136,,False
INV000137,73.0,True
INV000138,170.0,True
INV000139,,False
INV000140,157.0,True
INV000141,,False
INV000142,,False
INV000143,146.0,True
INV000144,193.0,True
INV000145,98.0,True
INV000146,109.0,True
INV000147,141.0,True
INV000148,168.0,True
INV000149,,False
INV000150,165.0,True
INV000151,115.0,True
INV000152,87.0,True
INV000153,93.0,True
INV000154,99.0,True
INV000155,163.0,True
INV000156,130.0,True
INV000157,,False
INV000158,118.0,True
INV000159,218.0,True
INV000160,143.0,True
INV000161,191.0,True
INV000162,435.0,True
INV000163,80.0,True
INV000164,208.0,True
INV000165,236.0,True
INV000166,253.0,True
INV000167,195.0,True
INV000168,320.0,True
INV000169,121.0,True
INV000170,33.0,False
INV000171,103.0,True
INV000172,298.0,True
INV000173,156.0,True
INV000174,117.0,True
INV000175,150.0,True
INV000176,204.0,True
INV000177,210.0,True
INV000178,230.0,True
INV000179,85.0,True
INV000180,226.0,True
INV000181,264.0,True
INV000182,182.0,True
INV000183,177.0,True
INV000184,,False
INV000185,196.0,True
INV000186,121.0,True
INV000187,,False
INV000188,219.0,True
INV000189,120.0,True
INV000190,240.0,True
INV000191,85.0,True
INV000192,122.0,True
INV000193,208.0,True
INV000194,109.0,True
INV000195,114.0,True
INV000196,147.0,True
INV000197,210.0,True
INV000198,,False
INV000199,191.0,True
INV000200,163.0,True
INV000201,100.0,True
INV000202,272.0,True
INV000203,131.0,True
INV000204,173.0,True
INV000205,193.0,True
INV000206,175.0,True
INV000207,238.0,True
INV000208,,False
INV000209,29.0,False
INV000210,163.0,True
INV000211,190.0,True
INV000212,88.0,True
INV000213,103.0,True
INV000214,206.0,True
INV000215,198.0,True
INV000216,107.0,True
INV000217,150.0,True
INV000218,,False
INV000219,166.0,True
INV000220,253.0,True
INV000221,101.0,True
INV000222,109.0,True
INV000223,123.0,True
INV000224,138.0,True
INV000225,150.0,True
INV000226,105.0,True
INV000227,165.0,True
INV000228,109.0,True
INV000229,78.0,True
INV000230,145.0,True
INV000231,96.0,True
