amfi_code,sortino_ratio
100016,-0.35
100025,-0.94
100033,1.83
101206,1.8
101207,0.28
101208,-1.68
102885,1.44
102886,-0.35
102887,1.09
118632,1.85
118633,1.15
118634,0.75
118635,1.14
118636,-0.61
119092,0.05
119093,0.22
119094,1.7
119095,-0.13
119120,-0.38
119551,2.14
119552,1.61
119598,1.68
119599,-0.09
120503,1.34
120504,1.81
120505,2.03
120506,1.1
120507,1.05
120841,0.86
120842,0.12
120843,2.36
120844,-0.19
125497,1.33
125498,0.51
148567,2.39
148568,1.63
148569,2.15
149322,0.76
149323,1.88
149324,1.62
